"time","n1","n2","weight",,,,
"t_0","37","21","3.689188",,,,
"t_0","13","08","12.856421",,,,
"t_0","15","23","17.265781",,,,
"t_0","08","26","6.453912",,,,
"t_0","17","01","24.973028",,,,
"t_0","04","14","75.16402",,,,
"t_0","38","32","40.91312",,,,
"t_0","37","07","1.6193461",,,,
"t_0","06","26","25.327755",,,,
"t_0","38","40","21.688908",,,,
"t_0","26","29","4.690636",,,,
"t_0","05","27","6.953504",,,,
"t_0","02","03","36.51979",,,,
"t_0","17","34","27.944265",,,,
"t_0","11","24","13.495255",,,,
"t_0","25","12","61.95372",,,,
"t_0","05","12","3.6185727",,,,
"t_0","30","07","28.66959",,,,
"t_0","01","19","50.599186",,,,
"t_0","22","34","1.5771165",,,,
"t_0","07","16","18.786695",,,,
"t_0","20","11","9.441542",,,,
"t_0","37","18","21.978731",,,,
"t_0","05","34","57.495865",,,,
"t_0","19","17","19.346033",,,,
"t_0","08","20","0.81587195",,,,
"t_0","02","28","0.30728513",,,,
"t_0","18","27","9.646246",,,,
"t_0","19","02","21.094912",,,,
"t_0","04","09","9.891734",,,,
"t_0","29","21","14.891864",,,,
"t_0","39","37","22.323606",,,,
"t_0","26","38","46.73417",,,,
"t_0","34","12","0.4492958",,,,
"t_0","18","07","2.0037682",,,,
"t_0","10","20","17.706602",,,,
"t_0","16","37","31.99308",,,,
"t_0","15","32","41.47867",,,,
"t_0","24","16","2.761709",,,,
"t_0","37","10","43.19886",,,,
"t_0","37","09","10.7108345",,,,
"t_0","27","39","7.915306",,,,
"t_0","27","05","6.953504",,,,
"t_0","40","01","17.338026",,,,
"t_0","26","34","0.45422462",,,,
"t_0","35","21","20.029922",,,,
"t_0","20","29","41.058224",,,,
"t_0","39","13","8.874729",,,,
"t_0","40","39","7.87668",,,,
"t_0","24","19","14.425366",,,,
"t_0","02","23","35.458504",,,,
"t_0","29","31","16.592001",,,,
"t_0","02","07","4.5602736",,,,
"t_0","18","17","17.93289",,,,
"t_0","24","30","0.43893266",,,,
"t_0","19","33","30.398035",,,,
"t_0","38","29","23.797916",,,,
"t_0","12","13","6.864366",,,,
"t_0","26","19","41.680832",,,,
"t_0","07","25","0.3116982",,,,
"t_0","39","05","7.967904",,,,
"t_0","21","20","30.034966",,,,
"t_0","11","06","20.180735",,,,
"t_0","03","09","1.2313131",,,,
"t_0","27","28","13.85225",,,,
"t_0","02","24","31.332138",,,,
"t_0","06","33","19.7672",,,,
"t_0","18","23","32.387993",,,,
"t_0","19","23","10.932988",,,,
"t_0","05","23","24.23273",,,,
"t_0","22","28","4.5093937",,,,
"t_0","23","29","41.182476",,,,
"t_0","18","24","7.6044335",,,,
"t_0","38","33","38.513332",,,,
"t_0","19","20","6.788815",,,,
"t_0","25","28","9.881258",,,,
"t_0","19","40","15.335159",,,,
"t_0","28","19","0.5559707",,,,
"t_0","21","12","34.24787",,,,
"t_0","12","25","61.95372",,,,
"t_0","25","01","24.977814",,,,
"t_0","15","21","5.5732956",,,,
"t_0","03","37","9.368548",,,,
"t_0","01","05","19.162685",,,,
"t_0","39","07","12.7429",,,,
"t_0","27","32","46.430714",,,,
"t_0","32","34","0.61595654",,,,
"t_0","10","11","6.6883745",,,,
"t_0","01","38","3.8094804",,,,
"t_0","02","30","37.969673",,,,
"t_0","27","14","6.4017506",,,,
"t_0","05","07","13.777369",,,,
"t_0","20","38","8.67666",,,,
"t_0","29","09","1.9708395",,,,
"t_0","29","26","4.690636",,,,
"t_0","20","10","17.706602",,,,
"t_0","16","22","50.66928",,,,
"t_0","16","32","11.323299",,,,
"t_0","25","20","8.382288",,,,
"t_0","15","34","0.45510355",,,,
"t_0","11","28","26.276043",,,,
"t_0","35","34","2.4005136",,,,
"t_0","07","28","8.065681",,,,
"t_0","25","35","29.475637",,,,
"t_0","25","36","12.621916",,,,
"t_0","08","25","15.394631",,,,
"t_0","34","18","38.518013",,,,
"t_0","38","22","35.877045",,,,
"t_0","03","08","16.132187",,,,
"t_0","06","01","42.36361",,,,
"t_0","14","11","6.111758",,,,
"t_0","15","27","26.827099",,,,
"t_0","03","10","9.336164",,,,
"t_0","26","13","6.851209",,,,
"t_0","20","19","6.788815",,,,
"t_0","23","24","14.099396",,,,
"t_0","07","40","27.206713",,,,
"t_0","14","27","6.4017506",,,,
"t_0","27","01","5.7590213",,,,
"t_0","33","34","39.11075",,,,
"t_0","13","36","29.324402",,,,
"t_0","01","25","24.977814",,,,
"t_0","08","15","7.356591",,,,
